facebook.com,157.240.2.35
youtube.com,216.58.217.14
yahoo.com,98.138.253.109
live.com,65.55.118.92
wikipedia.org,208.80.153.224
msn.com,13.82.28.61
baidu.com,111.13.101.208
blogspot.com,216.58.217.9
microsoft.com,191.239.213.197
qq.com,125.39.240.113
taobao.com,140.205.220.96
bing.com,13.107.21.200
sina.com.cn,202.108.33.107
soso.com,123.126.51.90
163.com,123.58.180.7
ask.com,66.235.121.239
adobe.com,192.150.16.117
twitter.com,104.244.42.65
mozilla.com,63.245.213.17
youku.com,106.11.47.20
sdjjdsaf.com,
andysayler.com,162.243.49.20
wmfo.org,23.92.21.128
amazon.com,54.239.25.208
wordpress.com,192.0.78.17
tudou.com,106.11.186.2
yahoo.co.jp,182.22.59.229
sohu.com,221.179.178.112
apple.com,17.172.224.47
hao123.com,180.149.132.19
windows.com,104.40.211.35
ebay.com,66.211.185.25
pps.tv,58.83.190.154
xunlei.com,119.188.108.240
56.com,101.227.173.126
fc2.com,52.36.136.201
paypal.com,64.4.250.32
sogou.com,118.191.216.42
tmall.com,140.205.130.99
ku6.com,122.11.45.243
rakuten.co.jp,133.237.48.124
about.com,207.241.148.122
orkut.com.br,
ifeng.com,210.51.19.63
goo.ne.jp,153.254.147.65
bbc.co.uk,212.58.244.23
yandex.ru,5.255.255.88
myspace.com,63.135.90.70
mail.ru,217.69.139.202
cnet.com,64.30.228.118
go.com,23.236.60.174
4399.com,118.184.184.70
orkut.com,216.239.36.21
skype.com,40.121.80.200
ameblo.jp,27.133.209.103
naver.com,125.209.222.142
flickr.com,69.147.76.173
4shared.com,204.155.149.42
amazon.co.jp,54.240.252.0
linkedin.com,108.174.10.10
dailymotion.com,195.8.215.136
imdb.com,207.171.166.22
aol.com,149.174.149.73
hotmail.com,65.55.118.92
360.cn,36.110.213.49
craigslist.org,208.82.237.129
weather.com,23.1.133.227
soku.com,106.11.186.2
alibaba.com,205.204.101.42
megaupload.com,
renren.com,103.235.252.231
livedoor.jp,125.6.149.67
blogger.com,216.58.217.41
vkontakte.ru,95.213.4.228
answers.com,192.41.64.63
rapidshare.com,10.11.12.13
daum.net,61.111.62.173
7k7k.com,115.182.59.33
2345.com,42.62.30.180
photobucket.com,209.17.68.100
mediafire.com,205.196.120.8
ehow.com,23.227.11.12
seesaa.net,59.106.28.139
paipai.com,
alipay.com,110.76.19.33
softonic.com,46.28.209.62
nifty.com,222.158.213.148
imageshack.us,208.94.3.19
cnn.com,151.101.65.67
tianya.cn,124.225.65.154
mywebsearch.com,74.113.233.48
zynga.com,54.148.147.56
partypoker.com,185.37.77.41
hp.com,15.73.192.108
walmart.com,161.170.244.20
kugou.com,14.18.236.182
ebay.de,66.135.211.132
youdao.com,61.135.218.27
hotfile.com,199.184.144.150
qiyi.com,101.227.188.174
pconline.com.cn,219.136.245.40
odnoklassniki.ru,5.61.23.11
jp.msn.com,13.88.15.24
