facebook.com,157.240.18.35
microsoft.com,104.40.211.35
youtube.com,172.217.12.14
yahoo.com,206.190.36.45
live.com,65.55.118.92
msn.com,13.82.28.61
blogspot.com,172.217.12.9
baidu.com,111.13.101.208
wikipedia.org,208.80.153.224
qq.com,125.39.240.113
twitter.com,104.244.42.65
amazon.com,54.239.25.208
adobe.com,192.150.16.117
bing.com,204.79.197.200
taobao.com,140.205.220.96
hotmail.com,65.55.118.92
163.com,123.58.180.7
ask.com,66.235.121.239
wordpress.com,192.0.78.17
tudou.com,106.11.186.1
apple.com,17.172.224.47
weather.com,23.1.133.227
360.cn,36.110.213.49
craigslist.org,208.82.237.129
mozilla.com,63.245.213.17
alipay.com,110.76.19.33
windows.com,104.43.195.251
bbc.co.uk,212.58.246.78
goo.ne.jp,153.254.147.65
sdjjdsaf.com,
youku.com,106.11.47.20
yahoo.co.jp,183.79.135.206
ifeng.com,210.51.19.63
ebay.com,66.211.160.86
soku.com,106.11.186.2
alibaba.com,198.11.132.23
soso.com,123.126.51.90
sina.com.cn,202.108.33.60
paipai.com,
sohu.com,123.125.116.16
myspace.com,63.135.90.70
imageshack.us,208.94.3.19
cnn.com,151.101.129.67
wmfo.org,23.92.21.128
softonic.com,46.28.209.62
renren.com,103.235.252.231
yandex.ru,5.255.255.88
andysayler.com,162.243.49.20
hao123.com,123.125.115.150
partypoker.com,185.37.77.41
mywebsearch.com,74.113.237.48
zynga.com,54.148.147.56
blogger.com,172.217.12.9
pps.tv,58.83.190.154
fc2.com,52.36.136.201
paypal.com,64.4.250.33
hp.com,15.72.228.83
mail.ru,94.100.180.202
tmall.com,140.205.94.193
cnet.com,64.30.228.118
xunlei.com,119.188.108.240
livedoor.jp,125.6.149.67
tianya.cn,124.225.65.154
go.com,23.236.60.174
about.com,207.241.148.122
walmart.com,161.170.248.20
4399.com,118.184.184.70
answers.com,192.41.64.63
56.com,125.88.156.119
sogou.com,118.191.216.42
rakuten.co.jp,133.237.48.124
ebay.de,66.211.181.235
orkut.com,216.239.32.21
skype.com,104.40.50.126
rapidshare.com,10.11.12.13
orkut.com.br,
7k7k.com,115.182.59.33
photobucket.com,209.17.68.100
hotfile.com,199.184.144.150
daum.net,114.108.157.50
mediafire.com,205.196.120.6
nifty.com,222.158.213.148
ehow.com,23.227.11.12
ameblo.jp,27.133.209.103
kugou.com,14.18.236.182
seesaa.net,59.106.98.139
youdao.com,61.135.218.30
qiyi.com,101.227.188.174
pconline.com.cn,219.136.245.40
vkontakte.ru,95.213.4.228
2345.com,42.62.30.180
ku6.com,122.11.45.243
megaupload.com,
